Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	Experiment	HLA_Risk_Class	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	data_type	flowcell_barcode	geo_loc_name	host	host_subject_id	instrument_name	lane	lat_lon	library_type	product_order	product_part_number	read_group_id	run_barcode	run_name	sex	source_name	tissue	treatment	work_request
RNA-Seq		49	PRJNA190702	SAMN01924861		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245575		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	275	213	Homo sapiens	ILLUMINA	2015-12-31	SRR764979	SRS398133	SRP018853	GSM1088200																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924862		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245576		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	128	70	Homo sapiens	ILLUMINA	2015-12-31	SRR764980	SRS398134	SRP018853	GSM1088201																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924863		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245577		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	300	114	Homo sapiens	ILLUMINA	2015-12-31	SRR764981	SRS398135	SRP018853	GSM1088202																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924864		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245578		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	235	150	Homo sapiens	ILLUMINA	2015-12-31	SRR764982	SRS398136	SRP018853	GSM1088203																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924865		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245579		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	679	494	Homo sapiens	ILLUMINA	2015-12-31	SRR764983	SRS398137	SRP018853	GSM1088204																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924866		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245580		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	1537	1016	Homo sapiens	ILLUMINA	2015-12-31	SRR764984	SRS398138	SRP018853	GSM1088205																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924867		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245581		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	111	83	Homo sapiens	ILLUMINA	2015-12-31	SRR764985	SRS398139	SRP018853	GSM1088206																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924868		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245582		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	642	536	Homo sapiens	ILLUMINA	2015-12-31	SRR764986	SRS398140	SRP018853	GSM1088207																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924869		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245583		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	216	110	Homo sapiens	ILLUMINA	2015-12-31	SRR764987	SRS398141	SRP018853	GSM1088208																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924870		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245584		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	174	84	Homo sapiens	ILLUMINA	2015-12-31	SRR764988	SRS398142	SRP018853	GSM1088209																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924871		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245585		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	784	493	Homo sapiens	ILLUMINA	2015-12-31	SRR764989	SRS398143	SRP018853	GSM1088210																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924872		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245586		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	589	446	Homo sapiens	ILLUMINA	2015-12-31	SRR764990	SRS398144	SRP018853	GSM1088211																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924873		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245587		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	663	385	Homo sapiens	ILLUMINA	2015-12-31	SRR764991	SRS398145	SRP018853	GSM1088212																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924874		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245588		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	9	7	Homo sapiens	ILLUMINA	2015-12-31	SRR764992	SRS398146	SRP018853	GSM1088213																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924875		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245589		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	670	493	Homo sapiens	ILLUMINA	2015-12-31	SRR764993	SRS398147	SRP018853	GSM1088214																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924876		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245590		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	286	132	Homo sapiens	ILLUMINA	2015-12-31	SRR764994	SRS398148	SRP018853	GSM1088215																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924877		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245591		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	503	401	Homo sapiens	ILLUMINA	2015-12-31	SRR764995	SRS398149	SRP018853	GSM1088216																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924878		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245592		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	204	127	Homo sapiens	ILLUMINA	2015-12-31	SRR764996	SRS398150	SRP018853	GSM1088217																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924879		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245593		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	894	668	Homo sapiens	ILLUMINA	2015-12-31	SRR764997	SRS398151	SRP018853	GSM1088218																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924880		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245594		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	624	462	Homo sapiens	ILLUMINA	2015-12-31	SRR764998	SRS398152	SRP018853	GSM1088219																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924881		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245595		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	1031	613	Homo sapiens	ILLUMINA	2015-12-31	SRR764999	SRS398153	SRP018853	GSM1088220																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924882		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245596		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	1011	520	Homo sapiens	ILLUMINA	2015-12-31	SRR765000	SRS398154	SRP018853	GSM1088221																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924883		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245597		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	5	4	Homo sapiens	ILLUMINA	2015-12-31	SRR765001	SRS398155	SRP018853	GSM1088222																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924884		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245598		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	163	110	Homo sapiens	ILLUMINA	2015-12-31	SRR765002	SRS398156	SRP018853	GSM1088223																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924885		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245599		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	169	86	Homo sapiens	ILLUMINA	2015-12-31	SRR765003	SRS398157	SRP018853	GSM1088224																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924886		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245600		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	727	544	Homo sapiens	ILLUMINA	2015-12-31	SRR765004	SRS398158	SRP018853	GSM1088225																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924887		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245601		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	186	84	Homo sapiens	ILLUMINA	2015-12-31	SRR765005	SRS398159	SRP018853	GSM1088226																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924888		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245602		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	344	237	Homo sapiens	ILLUMINA	2015-12-31	SRR765006	SRS398160	SRP018853	GSM1088227																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924889		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245603		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	107	59	Homo sapiens	ILLUMINA	2015-12-31	SRR765007	SRS398161	SRP018853	GSM1088228																	CD4+ T cells			
RNA-Seq		50	PRJNA190702	SAMN01924890		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245604		0	Illumina Genome Analyzer IIx	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	845	454	Homo sapiens	ILLUMINA	2015-12-31	SRR765008	SRS398162	SRP018853	GSM1088229																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924891		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245605		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	267	196	Homo sapiens	ILLUMINA	2015-12-31	SRR765009	SRS398163	SRP018853	GSM1088230																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924892		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245606		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	107	89	Homo sapiens	ILLUMINA	2015-12-31	SRR765010	SRS398164	SRP018853	GSM1088231																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924893		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245607		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	442	339	Homo sapiens	ILLUMINA	2015-12-31	SRR765011	SRS398165	SRP018853	GSM1088232																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924894		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245608		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	983	674	Homo sapiens	ILLUMINA	2015-12-31	SRR765012	SRS398166	SRP018853	GSM1088233																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924895		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245609		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	630	478	Homo sapiens	ILLUMINA	2015-12-31	SRR765013	SRS398167	SRP018853	GSM1088234																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924896		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245610		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	755	562	Homo sapiens	ILLUMINA	2015-12-31	SRR765014	SRS398168	SRP018853	GSM1088235																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924897		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245611		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	839	624	Homo sapiens	ILLUMINA	2015-12-31	SRR765015	SRS398169	SRP018853	GSM1088236																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924898		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245612		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	1015	732	Homo sapiens	ILLUMINA	2015-12-31	SRR765016	SRS398170	SRP018853	GSM1088237																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924899		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245613		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	140	123	Homo sapiens	ILLUMINA	2015-12-31	SRR765017	SRS398171	SRP018853	GSM1088238																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924900		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245614		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	3094	2069	Homo sapiens	ILLUMINA	2015-12-31	SRR765018	SRS398172	SRP018853	GSM1088239																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924901		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245615		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	652	526	Homo sapiens	ILLUMINA	2015-12-31	SRR765019	SRS398173	SRP018853	GSM1088240																	CD4+ T cells			
RNA-Seq		49	PRJNA190702	SAMN01924902		GEO	public	sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX245616		0	Illumina HiSeq 2000	SINGLE	size fractionation	TRANSCRIPTOMIC		2015-09-01	629	472	Homo sapiens	ILLUMINA	2015-12-31	SRR765020	SRS398174	SRP018853	GSM1088241																	CD4+ T cells			
